Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
'My Hope Is . . . ': A Hope-Based Typology of Homeless Youth,"Zhang, Neil S.; Schonberg, Jeffrey; Syme, S. Leonard; Auerswald, Colette L.","Many youth experiencing homelessness (YEH) are surprisingly hopeful. We propose a typology of the hopes for the future (HFTF) of YEH, based on a qualitative study employing grounded theory. YEH fell into four categories: (a) nonmainstream HFTF youth who wished to escape the mainstream, (b) mainstream HFTF youth who wished to integrate into the mainstream, (c) marijuana-economy HFTF youth who aspired to escape homelessness by entering the marijuana economy, and (d) no HFTF youth who did not or could not envision the future. Our finding that some YEH transition between different HFTF suggests a modifiable point of intervention. We share novel findings regarding how the perceived trajectories of some YEH may have been influenced by the evolving legal status of marijuana. Our emic approach to constructing a typology may inform the design of more acceptable/effective interventions. We suggest implications, including ethical quandaries, raised by our findings.",2020,,Youth & Society,52,8,1523-1543,"SAGE Publications. 2455 Teller Road, Thousand Oaks, CA 91320. Tel: 800-818-7243; Tel: 805-499-9774; Fax: 800-583-2665; e-mail: journals@sagepub.com; Web site: http://sagepub.com",10.1177/0044118X19826418,,#1,Zhang 2020,,
Nonvocational Outcomes from a Randomized Controlled Trial of Two Employment Interventions for Homeless Youth,"Ferguson, Kristin M.","Purpose: This randomized controlled trial compared the efficacy between the Social Enterprise Intervention (SEI) and Individual Placement and Support (IPS) with homeless youth with mental illness to assess their impact on nonvocational outcomes. Method: Seventy-two homeless youth were recruited from one agency and randomized to the SEI (n = 36) or IPS (n = 36) conditions. Over 20 months, SEI participants received four SEI components, and IPS participants received eight IPS components. Data were collected on mental health, housing, and social support outcomes at baseline and one follow-up period. Results: Findings from mixed analysis of variance indicate that both SEI and IPS participants displayed statistically significant changes in their self-esteem, attention-deficit/hyperactivity disorder (ADHD) problems, inattention problems, living in a shelter, and living in a private residence. Conclusions: This is the first study to demonstrate the comparative efficacy and short-term nonvocational outcomes of SEI and IPS with homeless youth with mental illness. Assessment of long-term outcomes of both interventions is warranted. [Paper presented at the Stockholm Conference on Behavioral and Social Intervention Research, 11-12 May, 2017.]",2018,,Research on Social Work Practice,28,5,603-618,"SAGE Publications. 2455 Teller Road, Thousand Oaks, CA 91320. Tel: 800-818-7243; Tel: 805-499-9774; Fax: 800-583-2665; e-mail: journals@sagepub.com; Web site: http://sagepub.com",10.1177/1049731517709076,,#5,Ferguson 2018,,
"Social Connectedness, Self-Efficacy, and Mental Health Outcomes among Homeless Youth: Prioritizing Approaches to Service Provision in a Time of Limited Agency Resources","Begun, Stephanie; Bender, Kimberly A.; Brown, Samantha M.; Barman-Adhikari, Anamika; Ferguson, Kristin","Homeless youth frequently meet diagnosis criteria for depressive and/or substance use disorder(s). Although prior research has established that both social connectedness and self-efficacy buffer vulnerable youth's adverse health outcomes, few studies have compared the potential of these protective factors on homeless youth's mental well-being. The current study analyzes comparative effects of social connectedness and self-efficacy on meeting criteria for major depressive disorder, substance use disorder, and the co-occurrence of both disorders among a sample of 601 service-seeking homeless youth in Austin, Denver, and Los Angeles. Hierarchical logistic regressions indicate that while both social connectedness and self-efficacy constructs are valuable protective factors, social connectedness may offer greater utility, particularly in buffering against more complex mental health outcomes, such as the co-occurrence of depressive and substance use disorders. Accordingly, resource-strapped homeless youth service providers and researchers may benefit from tailoring mental health intervention strategies to further emphasize social connectedness in future efforts.",2018,,Youth & Society,50,7,989-1014,"SAGE Publications. 2455 Teller Road, Thousand Oaks, CA 91320. Tel: 800-818-7243; Tel: 805-499-9774; Fax: 800-583-2665; e-mail: journals@sagepub.com; Web site: http://sagepub.com",10.1177/0044118X16650459,,#11,Begun 2018,,
Recruitment and Retention of Homeless Youth in a Substance Use and HIV-Risk Reduction Program,"Garvey, Rick; Pedersen, Eric R.; D'Amico, Elizabeth J.; Ewing, Brett A.; Tucker, Joan S.","Conducting intervention studies with homeless populations can be difficult, particularly in terms of retaining participants across multiple sessions and locating them for subsequent follow-up assessments. Homeless youth are even more challenging to engage due to substance use, mental health problems, wariness of authority figures, and frequent relocations. This article describes methods used to successfully recruit a sample of 200 homeless youth from two drop-in centers in Los Angeles, engage them in a four-session substance use and sexual risk reduction program (79% of youth attended multiple sessions), and retain 91% of the full sample at a three-month follow-up assessment. Our experience indicates that utilizing structured project materials and having a small dedicated staff are essential to recruitment and retention efforts for intervention studies with homeless youth. Using these and other nontraditional methods are likely necessary to engage this at-risk yet hard-to-reach population.",2018,,Field Methods,30,1,22-36,"SAGE Publications. 2455 Teller Road, Thousand Oaks, CA 91320. Tel: 800-818-7243; Tel: 805-499-9774; Fax: 800-583-2665; e-mail: journals@sagepub.com; Web site: http://sagepub.com",10.1177/1525822X17728346,,#15,Garvey 2018,,
Increasing Identification of Homeless Students: An Experimental Evaluation of Increased Communication Incorporating Behavioral Insights,"Shephard, Daniel D.; Hall, Crystal C.; Lamberton, Cait","Over 1.5 million students in the United States experience homelessness. These students are entitled to educational support through the Education for Homeless Children and Youth program. However, many homeless students are not identified and therefore never receive this support. Across 1,732 local education agencies in New Jersey, New Mexico, and New York, we conducted a randomized controlled trial of increased email communication incorporating behavioral insights targeting homeless liaison staff in order to increase the identification of homeless students. The intervention had an impact on the mean number of identified homeless students among the treatment local education agencies (3.62, 90% CI [0.32, 6.92], p = 0.07). The impact remained when outliers with high leverage were removed (1.51 CI [0.24, 2.79], p = 0.05). Within this sample, our analysis indicates that more than 3,000 additional homeless students were identified with a low-cost, low-intensity, behavioral intervention during the second semester.",2021,,Educational Researcher,50,4,239-248,"SAGE Publications. 2455 Teller Road, Thousand Oaks, CA 91320. Tel: 800-818-7243; Tel: 805-499-9774; Fax: 800-583-2665; e-mail: journals@sagepub.com; Web site: http://sagepub.com",10.3102/0013189X20981067,,#21,Shephard 2021,,
School Counselors' Perspectives on Preparing Students Experiencing Homelessness for College,Stacey A. Havlik; Dana Brookover; Patrick Rowley,"The purpose of the study is to investigate school counselors' support of youth experiencing homelessness going to college. Using survey methods, school counselors reported their knowledge, perceived competence, advocacy, and actions related to supporting students experiencing homelessness in their college preparation. The results suggested that training and the number of students experiencing homelessness on counselors' caseloads were significantly related to their knowledge and competence. Knowledge, competence, and advocacy all impacted the number of interventions utilized by participants. The implications of these results for school counselors and counselor educators are discussed.",2024,,Journal of College Access,9,1,24-Aug,"Journal of College Access. 1903 W. Michigan Avenue, Kalamazoo, MI 49008. Web site: http://scholarworks.wmich.edu/jca/",,,#25,Stacey 2024,,
Addressing Mental Health and Trauma-Related Needs of Sheltered Children and Families with Trauma-Focused Cognitive-Behavioral Therapy (TF-CBT),Jamie A. Spiegel; Paulo A. Graziano; Emily Arcia; Shana K. Cox; Muriel Ayala; Nicole A. Carnero; Noelle L. O'Mara; Sundari Foundation,"Children and adolescents (""youth"") experiencing homelessness are at a disproportionately high risk of exposure to potentially traumatic events (PTE). However, limited evidence exists as to what interventions are effective when implemented with this high-risk population. The purpose of this study was to (1) document the mental health and trauma-related needs of sheltered youth and their mothers, and (2) examine the feasibility/effectiveness of Trauma-Focused Cognitive-Behavioral Therapy (TF-CBT) administered within the context of a homeless shelter. Three hundred and twenty-one youth (M[subscript age] = 10.06 years, SD = 3.24 years, 56.4% male, 70.1% Black/African American, 34.6% Hispanic/Latinx) and their mothers were recruited from a homeless shelter and provided 10 weeks of TF-CBT, with the option for up to eight additional weeks of therapy based on clinical need. Families completed pre- and post-intervention assessments. Results demonstrated clinically elevated pre-intervention PTSD symptoms and rates of exposure to PTE in sheltered youth well above those previously reported in the general population. TF-CBT resulted in substantial reductions in both maternal and self-reported severity of youth PTSD symptomology, which were largely attributable to reductions in re-experiencing and arousal. Effectiveness of TF-CBT varied by age and the number of exposures to PTE. Overall, these findings illustrate the importance of assessing and addressing the mental health and trauma-related needs of sheltered youth and the feasibility and efficacy of embedding an evidence-based trauma-focused treatment protocol within a shelter environment. Additional implications of these findings are discussed.",2022,,Administration and Policy in Mental Health and Mental Health Services Research,49,5,881-898,"Springer. Available from: Springer Nature. One New York Plaza, Suite 4600, New York, NY 10004. Tel: 800-777-4643; Tel: 212-460-1500; Fax: 212-460-1700; e-mail: customerservice@springernature.com; Web site: https://link.springer.com/",10.1007/s10488-022-01207-0,,#26,Jamie 2022,,
Toward a New Beginning: Exploring the Instructional Dynamics of Expansive Learning with Workers in a Youth Supported Housing Unit,"Prokopis, Dimitrios; Sannino, Annalisa; Mykkänen, Arttu","Purpose: This study aims at presenting an analysis of a Change Laboratory conducted with the personnel of a youth supported housing unit for clients with a history or at risk of homelessness. The analysis is centered on how the workers' expansive learning process was supported ensuring that they would be in the lead of their workplace transformation process. Design/methodology/approach: The data were collected in six Change Laboratory sessions facilitated by interventionist-researchers and were analyzed with a specific method of discourse analysis devised for tracing expansive learning at work, the method of analysis of expansive learning actions and deviation from instructional intentions. The purpose of this method of analysis is to present in a detailed and structured manner how workplace expansive learning unfolds. Findings: The results of the analysis indicate that the contribution of the practitioners participating in this Change Laboratory was such that the undertaken transformation resulting from the expansive learning process was actually owned by them. These results contribute to ongoing discussions on workplace expansive learning, which question the extent to which the Change Laboratory is truly a participatory intervention method in which the participating practitioners' agency becomes visible without the interventionists necessarily dominating. Originality/value: This study addresses existing gaps in the literature on workplace expansive learning, by opening up a novel perspective for detailed empirical enquiries that demonstrate the role workers may play in supported expansive learning processes and ensuing transformations of their workplaces.",2022,,Journal of Workplace Learning,34,7,628-642,"Emerald Publishing Limited. Howard House, Wagon Lane, Bingley, West Yorkshire, BD16 1WA, UK. Tel: +44-1274-777700; Fax: +44-1274-785201; e-mail: emerald@emeraldinsight.com; Web site: http://www.emerald.com/insight",10.1108/JWL-11-2021-0157,,#33,Prokopis 2022,,
Pathways of Running Away among Belgian Youth,"Glowacz, Fabienne; Léonard, Julie; Courtain, Audrey","Runaway behaviors among teenagers have been studied for some 40 years. Still, because runaway and homeless youths have often been confounded, little is known about what really defines a runaway adolescent. This study targets three objectives in a mixed-method design relying on data from official files and interviews: the descriptions of teenagers reported as missing (e.g., age, sex, runaway duration and reiteration, place left behind, type of caller reporting the child as missing, motivation for closing the file) and the understanding of runaway pathways and dynamics. These studies can contribute to prevention and intervention programs by providing new perspectives on how runaway experiences should be understood in light of the adolescent process.",2020,,Youth & Society,52,2,143-165,"SAGE Publications. 2455 Teller Road, Thousand Oaks, CA 91320. Tel: 800-818-7243; Tel: 805-499-9774; Fax: 800-583-2665; e-mail: journals@sagepub.com; Web site: http://sagepub.com",10.1177/0044118X17734233,,#35,Glowacz 2020,,
'I Need to Get My Culture Back': Youth and Provider Perspectives on Integrating Culturally Based Approaches into Sexual and Reproductive Health Programs for Native Hawaiian and Pacific Islander Youth Experiencing Homelessness,Charlene Kuo; Michelle Jasczynski; Jee Hun Yoo; Jennifer L. Robinson; Katelyn Reynolds; Lisa Anoruo; Kayla Bae; Lana Sue Ka'opua; Rebecca Chavez; Jacqueline Tellei; Elizabeth M. Aparicio,"There is growing interest in decolonizing sexual and reproductive health (SRH) and embedding cultural practices into social and medical services in Hawai'i. Wahine (""woman"") Talk is a multilevel, comprehensive SRH program for female youth experiencing homelessness (YEH) led by community health, social work, and medical providers. This study examines youth and program provider perspectives of culturally based approaches that may strengthen SRH programs. The study team conducted three focus groups and ten in-depth interviews with participating youth and program providers after the program's conclusion. Youth participants were aged 14 to 22 years (M = 18.1) and of Native Hawaiian or Pacific Islander ancestry. Interview transcripts were analyzed using structured thematic analysis. The youth described feeling estranged from their ancestral cultures and suggested incorporating multiple cultural practices to enhance their connection to community, body, and land into SRH programming for YEH. They identified several ?aina (""land"")--based approaches, hands-on learning, hula, and language as possible practices to weave into the program. While youth felt estranged from their ancestral cultures, they discussed Native Hawaiian and Pacific Islander health perspectives where ?aina and relationships are considered life-sustaining. Youth and program staff stressed incorporating culture respectfully, caring for the whole person, and providing trauma-informed care. Future policy, practice, and research should consider protecting and integrating Native Hawaiian conceptions of health into SRH policy and practice and include youths' cultural identities in SRH intervention development.",2023,,Prevention Science,24,2,209-221,"Springer. Available from: Springer Nature. One New York Plaza, Suite 4600, New York, NY 10004. Tel: 800-777-4643; Tel: 212-460-1500; Fax: 212-460-1700; e-mail: customerservice@springernature.com; Web site: https://link.springer.com/",10.1007/s11121-023-01573-7,,#40,CharleneKuo 2023,,
